Vertical,Sub Vertical,Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Element,Organization Units,Applications
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Real time assistance on the call or in meeting,"Provide live support (notes, prompts, or SME backup) to the advisor during the interaction.",Client snapshot,Current investments,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Call transcript analysis and action items,"Review transcripts to extract decisions, action items, and CRM updates for follow-up.",Call summary,Decision taken,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Call transcript analysis and action items,"Review transcripts to extract decisions, action items, and CRM updates for follow-up.",Call summary,Action items,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Call transcript analysis and action items,"Review transcripts to extract decisions, action items, and CRM updates for follow-up.",Call summary,Timeline,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Client Communication,"Send clear, timely status updates and confirmations to keep the client informed and aligned.",Communication,Meeting summary,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Advisor initial interaction,"Designated advisor builds rapport, confirms the client's objectives and constraints, gathers essential information for onboarding,",Client Communication,"Send clear, timely status updates and confirmations to keep the client informed and aligned.",Communication,Investment plan,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,KYC & Documentation,"Verifies client identity, legal status and risk profile, collects required documents",Checklist for KYC and  follow ups,"Issue a concise, prioritized KYC document list and track reminders until all items are received and verified.",KYC checklist,Identity proof,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,KYC & Documentation,"Verifies client identity, legal status and risk profile, collects required documents",Checklist for KYC and  follow ups,"Issue a concise, prioritized KYC document list and track reminders until all items are received and verified.",KYC checklist,Address proof,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,KYC & Documentation,"Verifies client identity, legal status and risk profile, collects required documents",Checklist for KYC and  follow ups,"Issue a concise, prioritized KYC document list and track reminders until all items are received and verified.",KYC checklist,DOB,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,KYC & Documentation,"Verifies client identity, legal status and risk profile, collects required documents",Checklist for KYC and  follow ups,"Issue a concise, prioritized KYC document list and track reminders until all items are received and verified.",KYC checklist,Photograph,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,KYC & Documentation,"Verifies client identity, legal status and risk profile, collects required documents","Fill the Demat,trading,nomination forms ","Guide completion and validation of Demat, trading, and nomination forms, then submit to operations for account activation.",Client details,Bank account number,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,KYC & Documentation,"Verifies client identity, legal status and risk profile, collects required documents","Fill the Demat,trading,nomination forms ","Guide completion and validation of Demat, trading, and nomination forms, then submit to operations for account activation.",Client details,Contact number,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Risk Assessment Q&A,"Capture the client’s risk tolerance, return expectations, liquidity needs, and investment horizon through structured questions.",Risk metrics,Risk tolerance score,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Risk Assessment Q&A,"Capture the client’s risk tolerance, return expectations, liquidity needs, and investment horizon through structured questions.",Risk metrics,Maximum acceptable loss,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Risk Assessment Q&A,"Capture the client’s risk tolerance, return expectations, liquidity needs, and investment horizon through structured questions.",Risk metrics,Investment horizon,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Risk Assessment Q&A,"Capture the client’s risk tolerance, return expectations, liquidity needs, and investment horizon through structured questions.",Risk metrics,Income statbility,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Risk Assessment Q&A,"Capture the client’s risk tolerance, return expectations, liquidity needs, and investment horizon through structured questions.",Risk metrics,Liquidity need,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Policy Statement (IPS) creation,"Prepare a formal document outlining the client’s objectives, allocation strategy, constraints, and investment guidelines.",Investment profile,Constraints,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Policy Statement (IPS) creation,"Prepare a formal document outlining the client’s objectives, allocation strategy, constraints, and investment guidelines.",Investment profile,Risk tolerance,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Policy Statement (IPS) creation,"Prepare a formal document outlining the client’s objectives, allocation strategy, constraints, and investment guidelines.",Investment profile,Time horizon,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Policy Statement (IPS) creation,"Prepare a formal document outlining the client’s objectives, allocation strategy, constraints, and investment guidelines.",Investment profile,Liquidity need,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Policy Statement (IPS) creation,"Prepare a formal document outlining the client’s objectives, allocation strategy, constraints, and investment guidelines.",Investment profile,Asset allocation,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Financial Planning Document creation,"Assesses current financial position, defines short- and long-term goals, and outlines budget, cash-flow, savings, investment, insurance, tax",Financial profile,Net worth,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Financial Planning Document creation,"Assesses current financial position, defines short- and long-term goals, and outlines budget, cash-flow, savings, investment, insurance, tax",Financial profile,Monthly incone&expense,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Financial Planning Document creation,"Assesses current financial position, defines short- and long-term goals, and outlines budget, cash-flow, savings, investment, insurance, tax",Financial profile,Financial Goals,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Financial Planning Document creation,"Assesses current financial position, defines short- and long-term goals, and outlines budget, cash-flow, savings, investment, insurance, tax",Financial profile,Existing Investment ,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Financial Planning Document creation,"Assesses current financial position, defines short- and long-term goals, and outlines budget, cash-flow, savings, investment, insurance, tax",Financial profile,Liabilities,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Advisory & recommendation document,"Present tailored investment recommendations with clear rationale, benefits, risks, and next-step actions.",Investment profile,Risk profile,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Advisory & recommendation document,"Present tailored investment recommendations with clear rationale, benefits, risks, and next-step actions.",Investment profile,financial goals,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Advisory & recommendation document,"Present tailored investment recommendations with clear rationale, benefits, risks, and next-step actions.",Investment profile,Current asset allocation,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Advisory & recommendation document,"Present tailored investment recommendations with clear rationale, benefits, risks, and next-step actions.",Investment profile,Investment amounts,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Advisory & recommendation document,"Present tailored investment recommendations with clear rationale, benefits, risks, and next-step actions.",Investment profile,Time horizon,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Suitability & compliance check,Validate that all recommendations are appropriate for the client profile and compliant with regulatory requirements.,Client data,Risk profile,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Suitability & compliance check,Validate that all recommendations are appropriate for the client profile and compliant with regulatory requirements.,Client data,Investment horizon,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Suitability & compliance check,Validate that all recommendations are appropriate for the client profile and compliant with regulatory requirements.,Client data,Client segment,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Suitability & compliance check,Validate that all recommendations are appropriate for the client profile and compliant with regulatory requirements.,Client data,KYC status,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Suitability & compliance check,Validate that all recommendations are appropriate for the client profile and compliant with regulatory requirements.,Client data,Investment limits,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Proposal,"Submit a structured proposal summarizing the recommended portfolio, allocation, products, and implementation plan.",Recommendation data,Asset allocation,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Proposal,"Submit a structured proposal summarizing the recommended portfolio, allocation, products, and implementation plan.",Recommendation data,Investment amounts,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Proposal,"Submit a structured proposal summarizing the recommended portfolio, allocation, products, and implementation plan.",Recommendation data,expected return,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Proposal,"Submit a structured proposal summarizing the recommended portfolio, allocation, products, and implementation plan.",Recommendation data,risk level,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Client Advisory&Investment Planning,"Tanslates the client’s profile into a clear, documented investment plan that the client reviews and approves before implementation.",Investment Proposal,"Submit a structured proposal summarizing the recommended portfolio, allocation, products, and implementation plan.",Recommendation data,selected products,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
